company,review_header,rating,pro,con,date_author
Administrate,Ultimate Human Organization,5.0,"This is a start with an interesting product! 
Some pros:

-4 Day Work Week
-Good Benefits
-Helpful teammates",The company is still growing so certain procedures as not concrete.,5 May 2022 - Anonymous Employee
Administrate,Great!,4.0,"- work life balance is amazing
- slowly getting out of 'start-up' phase and maturing quickly",- not quite a mature yet,28 Feb 2022 - Anonymous Employee
Administrate,"Great culture, good balance.",5.0,Four day week. Great gear.  Career progression.,"It could be high pressure at times, but that's startup!",15 Jan 2022 - Marketing Director
Administrate,Great company culture and life work balance.,5.0,"* Great life-work balance with 4 days a week and generous holidays allocation.
* Friendly and open company culture that focuses on making it a great place to work for any humans.
* Administrate does not focus on short term profits, but on long term customer relations and sustainable development.
* Flat leadership structure.
* Transparent company-wide decision making.
* Modern and varied technologies, so it's fun to code.","* No private healthcare.
* Going through some teething pains as the company switched it's business operation model recently. Outlook looks positive, but we're not 100% there.
* Early days of changing the way we approach software development to make it more sustainable. I like the idea, but I'm not completely confident this will be successfully applied.
* Some amount of random, hectic work resulting from issues with communication with the customer and churn rate among management. The bad part is that it makes the projects less fun to work on, the good part is that issue is identified and acknowledged by the management, so there is a good chance it will improve in time. Also, this is very team dependant.",16 Aug 2021 - Software Engineer
Administrate,Awesome team,5.0,Caring people doing awesome work. 4 day work week!,Perks taken for granted and can create a sense of entitlement amongst some.,21 Jul 2021 - Commercial
Administrate,Work-Life Balance with a Great Culture !,5.0,"4-day work week, work-life balance, Values, culture, fast-paced environment, sustainability and growth, a team of equals, diversity & inclusion","If I had any, I would discuss them directly with the team and we take immediate action to turn the cons into pros.",31 Mar 2021 - Enterprise Business Development
Administrate,"Best Team, Best Work Life Balance, The Hype is Real",5.0,"4 day work week is real
Strong emphasis on integrity throughout the company
Excellent implementation/execution of remote teams
Benefits are excellent",Global team can stretch you thin on meeting times,30 Mar 2021 - Copywriter
Administrate,The Ultimate Human Organization,5.0,Amazing work-life balance. Working 4 days per week.,There are no major cons. Love the culture and environment. Everyone is so supportive.,25 Mar 2021 - Marketing
Administrate,Great Company and they care about us,5.0,"- A lot of humanity in the company. They focus a lot on the ultimate human organization
- Good pressure that helps you evolve and gain valuable experience
- Support from team members in the engineering department
- 4 days per week, 8 hours a day","Not sure about the cons, maybe salary can be a bit better",24 Mar 2021 - Software Engineer
Administrate,Great company to work for!,5.0,"Good work-life balance.
Nice, supportive colleagues.
Company that cares for its people.
A lot of learning opportunities.
Career development opportunities.",Nothing to add here. All good.,27 Feb 2021 - Anonymous Employee
Administrate,Focussed and ambitious company,4.0,"Strong product, clearly defined route to market, excellent culture for customer support and a very inclusive company culture",They only “con” I could offer would be stop serving pizza with pineapple.,9 Mar 2021 - Business Development
Administrate,Enriching  and educative experience,5.0,"Work-life balance, amazing values, meaning full and satisfying work",I only have high regards for this company,18 Jan 2021 - Data Entry Coordinator
Administrate,Ultimate Human Organization,5.0,"I love what we're doing, love the people, I can work flexibly around my life, we're always looking to improve (ourselves, our processes and the platform). No workplace is perfect but this is definitely the best place I've worked.","Things move at a million miles an hour, normal for this type of business and where we are on the journey, but it can be relentless and exhausting, particularly through 2020 and working from home. Not for everyone, especially if you're not used to that level of pace.",14 Jan 2021 - Software Engineer
Administrate,Great culture and people - Salaries could be better.,4.0,You get to work with great people and a great management that cares about its people and pushes you to grow and learn,"Growing pains - as the company is growing into an enterprise-only platform in a tough EdTech market, things could get frustrating at times.",1 Dec 2020 - Anonymous Employee
Administrate,Outstanding company ethos and values,5.0,"Fantastic work-life balance 4-day work week but compensated for 5 (no gotchas).
Really make an effort to adhere to the values listed on the website.
I feel trusted, that my opinion matters and that I'm not being watched over, second-guessed or belittled.","On a personal level, found it difficult to get excited by the product.",4 Aug 2020 - QA Engineer
Administrate,Great company,5.0,"Driven team, ability to make your own decisions and strong focus on wellbeing.",Nothing major at all really.,10 Apr 2020 - Marketing Director
Administrate,Great place to work,5.0,"4 day working week, lots of perks and friendly team","Your tasks needs to be completed on time, even if you need to work late or in your free time.",28 Jan 2019 - Anonymous Employee
Administrate,One of the best companies I have worked with,4.0,"4-daywork
Friendly management and people
Work-life balance
Pizza Wednesdays
Flexible works timings and remote working options to help with childcare
Lunch with CEO and CFO every year to speak to them directly and open up
Mandatory Holidays
Internal growth options
Offers and discounts through 'Perkbox'","Not keeping employees upto date by Training them
Less salary Comparatively",2 Oct 2018 - Anonymous Employee
Administrate,The best job I've ever had,5.0,"I've worked in several jobs over the past twenty years, in various industries; all SaaS or IT-service related.  Without a doubt, Administrate is the most enjoyable job I've had in that time; the people, culture, pace and attitude all adds up to be the perfect combination.

The company truly believes in, and acts according to its values; when I was applying here, and learned about ""the values"", to my British ears is sounded corny, but seeing it in action, it just feels natural; it's rare to have a work conversation where someone doesn't mention one of them.

We have a four-day working week and some flexible working, which really helps with childcare; a really sustainable work-life balance.

All departments are very responsible to our customers, but without losing sight of the long-term strategic goals.  It's fast paced and challenging, but tremendously good fun, too.

We have an in-house therapist and life-coach who can offer mental health support when needed - it's all part of us being ""The Ultimate Human Organisation""

I've enjoyed working here so much that I've managed to recruit several of my former colleagues to come here too.",There aren't any cons to working here,10 Jul 2018 - Anonymous Employee
Administrate,Best company I've worked at by far!,5.0,"Company values are what you want and need from your employer. 4 day working week is a fantastic investment in their staff and they really do care about you. 

Prepare to be challenged, but in a realistic and fulfilling way.

Great perks including share options for employees.","You may not get the top salary the market has to offer, but you do only have to work 4 days, and that extra day is worth so much more.",17 Jun 2018 - Software Engineer
Administrate,I [heart] Administrate,5.0,"- 4 day week
- great people
- great values
- great culture
- pizza wednesdays!",The company is growing quickly and with that come the growing pains.,6 Jun 2018 - Anonymous Employee
Administrate,Employer that actually cares about its team,4.0,"- Actually care about employees
- CEO is very engaged
- Talented people work here
- Free drinks and food","- Lack of career opportunities
- Engineering team is some what junior and needs guidance
- Engineering problems are not very interesting",17 Aug 2017 - Anonymous Employee
Administrate,Human organisation,5.0,"This doesn't feel the same as working for a traditional company, Administrate has:
 • Company values that they actually keep (transparency is a big one, they don't hide anything from you, no matter your position)
 • 4-day work week (for better work/life balance)
 • Free snacks and drinks
 • Dominos' delivered every Wednesday for company lunch

and not to mention that they have a private counselling service they provide to employees for free because they know that happy people are hard working people — which I was very impressed with. 

What other company values you as a person above all else?",I don't have anything to say here at the moment.,1 Mar 2017 - 
