company,country,industry,tenure,company_size,year_founded,no_of_employees,growth_rate
3D Issue,Ireland,IT,, 11 - 50,2006,,
448 Studio,UK,Education,, 11 - 50,2017,,
Abstract,US,IT,,51 - 200,2016,,
Administrate,UK,Education,2.6,51 - 200,2011,156,16
Advice Direct Scotland,UK,Telecommunications,1.8,51 - 200,2004,31,19
ALAMI,Indonesia,Finance,0.8,201 - 500 ,2018,408,141
Applied Reviews,UK,Human Resource,2.4, 11 - 50,2015,46,39
Arken Legal,UK,IT,1.5, 11 - 50,1992,30,43
Atom Bank,UK,Finance,3,201 - 500 ,2014,417,15
Backbone,US,IT,1.4, 11 - 50,2014,47,15
Bandai Namco Mobile,Spain,Gaming,1.6, 11 - 50,2019,56,37
Barefoot Architects,UK,Architecture,, 2 - 10,,,
Benenati Law Firm,US,Legal,,51 - 200,2008,,
Bijles Aan Huis,Netherlands,Education,1.8, 11 - 50,2018,235,-6
Big Potato Games,UK,Manufacturing,3.4, 11 - 50,2014,42,5
Bit.io,US,IT,, 2 - 10,,,
Blackbird Interactive,Canada,Gaming,2.3,201 - 500 ,2007,306,13
Blink SEO,UK,Marketing,, 11 - 50,2010,,
Bolt,US,Finance,0.8,501 - 1000,2014,877,154
Boulder County,US,Government,7.3,1001 - 5000,1861,1107,0
Brett Nicholls Associates,UK,Accounting,, 2 - 10,2004,,
Buffer,US,Social Media,2.6,51 - 200,2010,149,10
Bunny Studio,US,Advertising,1.8,51 - 200,2012,231,12
ByteChek,US,Software Development,0.5, 11 - 50,2020,31,121
Calibre,Australia,IT,, 2 - 10,,,
Charlton Morris,UK,Staffing and Recruiting,1.3,51 - 200,2013,142,56
Carbon Switch,US,Manufacturing,, 2 - 10,,,
Chief Nation,UK,Advertising,1.8, 11 - 50,2002,38,3
Chordify,Netherlands,Music,2.7,51 - 200,2013,48,12
CIB Group,US,Finance,, 2 - 10,2000,,
City to Sea,UK,Environmental Services,2.8, 11 - 50,2015,31,24
Civo,UK,IT,1.8, 11 - 50,2015,35,21
CMG Technologies,UK,Nanotechnology Research,, 11 - 50,2013,,
Cockroach Labs,US,Software Development,1.2,201 - 500 ,2015,478,56
Coconut Software,Canada,Finance,1.3,51 - 200,2011,140,57
Commission Factory,Australia,Advertising,2.4, 11 - 50,2011,52,21
Covert Marketing,US,Publishing,, 2 - 10,2017,,
d.MBA,Germany,Design,, 2 - 10,2017,,
D’Youville University,US,Education,7.3,201 - 500 ,1908,728,1
Dassana,US,IT,, 2 - 10,2020,,
Daye,UK,Health and Wellness,2.2, 11 - 50,2018,62,9
Deedmob,Netherlands,Social Enterprise,, 11 - 50,2017,,
Delivery Native,US,Food & Beverage,, 11 - 50,,,
DHIS2,Norway,IT,2.8,51 - 200,2006,45,2
Diesdas Digital,Germany,Design,, 11 - 50,,,
Digible,US,Advertising,2.5,51 - 200,2017,48,-6
DNSFilter,US,IT,0.6,51 - 200,2015,111,158
Eduwill,South Korea,Education,1.9,501 - 1000,1992,76,25
eFileCabinet,US,Business,1.9,51 - 200,2001,131,11
Eidos-Montréal,Canada,Gaming,4.7,201 - 500 ,2007,620,-1
Elektra Lighting,UK,Architecture,, 11 - 50,2000,,
Elephant Ventures,US,IT,2.9,51 - 200,2004,68,31
Emtrain,US,Publishing,2.2,51 - 200,2000,97,11
Encore,UK,Music,, 11 - 50,,,
Escape the City,UK,Publishing,, 2 - 10,2010,,
Fast Retailing,Japan,Retail,3.7," 10,001+",1963,1860,4
Evolved Search,UK,Advertising,1.9,51 - 200,2014,56,33
Feathr,US,Marketing,1.2,51 - 200,2012,174,39
Firmsy,New Zeland,IT,, 11 - 50,,,
Forward Space,UK,Facilities Services,, 2 - 10,2007,,
FundersClub,US,Finance,8.6, 11 - 50,2012,36,-5
G2i,US,Human Resource,1.4, 11 - 50,2012,51,-2
Galt Pharmaceuticals,US,Pharmaceutical,2.8, 11 - 50,2016,30,-25
Geeks for Social Change,UK,Publishing,, 2 - 10,2016,,
GoLinks,US,Software Development,0.7, 11 - 50,2017,60,131
Grounded Packaging,Australia,Packaging,1, 11 - 50,,30,76
Groupe LDLC,France,Manufacturing,4.5,501 - 1000,1996,467,6
Headspace,US,Health and Wellness,1.3,501 - 1000,2010,410,7
Healthwise,US,Healthcare,7.5,201 - 500 ,1975,389,10
ihorizon,UK,Accounting,3.3, 11 - 50,2012,40,-27
ImprovMX,Germany,IT,, 2 - 10,,,
InDebted,Australia,Finance,0.8,201 - 500 ,2016,205,105
IriusRisk,Spain,IT,1,51 - 200,2008,118,69
