company,rating,tenure,no_of_employees,growth_rate,age,productivity
ALAMI,4.8,0.8,408.0,141.0,4,0
Administrate,4.8,2.6,156.0,16.0,11,1
Advice Direct Scotland,3.0,1.8,31.0,19.0,18,0
Applied Reviews,3.727272727272727,2.4,46.0,39.0,7,1
Arken Legal,5.0,1.5,30.0,43.0,30,1
Atom Bank,3.9444444444444446,3.0,417.0,15.0,8,1
Backbone,2.8333333333333335,1.4,47.0,15.0,8,1
Big Potato Games,5.0,3.4,42.0,5.0,8,1
Bijles Aan Huis,4.0,1.8,235.0,-6.0,4,0
Blackbird Interactive,3.9375,2.3,306.0,13.0,15,1
Bolt,4.020408163265306,0.8,877.0,154.0,8,1
Boulder County,3.689655172413793,7.3,1107.0,0.0,161,1
Buffer,4.25,2.6,149.0,10.0,12,1
Bunny Studio,4.7272727272727275,1.8,231.0,12.0,10,1
ByteChek,5.0,0.5,31.0,121.0,2,1
Canon,3.2653061224489797,7.6,10219.0,0.0,85,1
Charlton Morris,4.681818181818182,1.3,142.0,56.0,9,1
Chief Nation,4.5,1.8,38.0,3.0,20,1
City to Sea,5.0,2.8,31.0,24.0,7,1
Civo,4.5,1.8,35.0,21.0,7,1
Cockroach Labs,4.933333333333334,1.2,478.0,56.0,7,1
Coconut Software,4.724137931034483,1.3,140.0,57.0,11,1
Commission Factory,5.0,2.4,52.0,21.0,11,1
DNSFilter,4.9411764705882355,0.6,111.0,158.0,7,1
Daye,4.2,2.2,62.0,9.0,4,1
Digible,4.7,2.5,48.0,-6.0,5,1
D’Youville University,3.0,7.3,728.0,1.0,114,1
Eduwill,3.0,1.9,76.0,25.0,30,0
Eidos-Montréal,3.92,4.7,620.0,-1.0,15,1
Elephant Ventures,3.0,2.9,68.0,31.0,18,1
Emtrain,4.625,2.2,97.0,11.0,22,1
Evolved Search,5.0,1.9,56.0,33.0,8,1
Fast Retailing,3.375,3.7,1860.0,4.0,59,0
Feathr,4.318181818181818,1.2,174.0,39.0,10,1
G2i,4.333333333333333,1.4,51.0,-2.0,10,1
Galt Pharmaceuticals,3.933333333333333,2.8,30.0,-25.0,6,1
GoLinks,4.714285714285714,0.7,60.0,131.0,5,1
Headspace,3.3877551020408165,1.3,410.0,7.0,12,1
Healthwise,4.346153846153846,7.5,389.0,10.0,47,1
HearFocus,5.0,2.0,34.0,13.0,2,1
Highfield Professional Solutions Ltd,5.0,3.8,60.0,36.0,16,1
Hutch,4.4,2.1,174.0,25.0,11,1
InDebted,4.891304347826087,0.8,205.0,105.0,6,1
IriusRisk,5.0,1.0,118.0,69.0,14,1
JMK Solicitors,3.5,6.2,45.0,5.0,19,1
Justuno,4.5,2.8,42.0,-21.0,12,1
KPMG,4.36,9.8,50401.0,8.0,35,1
Kickstarter,3.4,3.8,238.0,0.0,13,1
MRL Consulting Group,4.05,3.0,107.0,11.0,25,1
Marketing Signals,2.0,1.3,42.0,45.0,15,1
Mizuho Financial Group,3.088235294117647,5.7,8688.0,2.0,20,0
Morrisons,4.1020408163265305,4.4,23937.0,1.0,123,1
Nexton,5.0,0.7,110.0,134.0,10,1
Our Community,5.0,5.0,79.0,-2.0,22,1
PDQ.com,4.5625,1.4,102.0,62.0,21,1
Panasonic,3.42,4.9,31285.0,5.0,104,1
Perpetual Guardian,2.25,4.8,144.0,1.0,138,1
Piktochart,4.4,3.3,46.0,-6.0,10,1
Polar,3.0714285714285716,0.8,51.0,4.0,14,0
Praytell,3.4,1.3,180.0,13.0,9,1
Procurify,3.9375,0.9,184.0,36.0,10,1
Qwick,4.346153846153846,0.9,332.0,132.0,5,0
Reflect Digital,5.0,1.8,39.0,-9.0,11,1
Seed&Spark,3.0,2.3,36.0,3.0,10,1
Shopify,4.1,1.6,15841.0,38.0,16,1
Signifyd,4.86,1.5,490.0,20.0,11,1
Smalls,5.0,2.0,42.0,27.0,6,1
Spin Brands,4.538461538461538,1.0,40.0,54.0,6,1
Starship,5.0,2.3,39.0,-11.0,6,1
Talewind,5.0,0.9,34.0,113.0,1,0
Telefónica,4.2,7.8,116283.0,8.0,98,1
The Curve Group,3.9565217391304346,3.8,112.0,27.0,18,1
Treehouse,2.466666666666667,2.2,158.0,-7.0,11,1
Tulip,3.272727272727273,1.3,242.0,32.0,9,1
Uncharted,4.75,2.3,45.0,25.0,21,1
Unito,4.9,2.7,115.0,8.0,7,1
Uplevel,5.0,2.1,37.0,23.0,4,1
WANdisco,4.157894736842105,3.5,198.0,-12.0,17,1
Welcome to the Jungle,5.0,1.3,524.0,53.0,8,1
Wonde,5.0,1.8,92.0,39.0,7,1
Wonderlic,3.588235294117647,4.8,111.0,10.0,85,1
eFileCabinet,4.666666666666667,1.9,131.0,11.0,21,1
ihorizon,3.7777777777777777,3.3,40.0,-27.0,10,1
