state,region,sat_participation_2019,ebrw_2019,math_2019,sat_total_2019,sat_participation_2018,ebrw_2018,math_2018,sat_total_2018,sat_participation_2017,ebrw_2017,math_2017,sat_total_2017,act_participation_2019,act_composite_2019,act_participation_2018,act_composite_2018,act_participation_2017,act_composite_2017,sat_diff_1819,sat_diff_1718,act_diff_1819,act_diff_1718,ave_sat_participation,ave_act_participation
Alabama,South,7.000000000000001,583,560,1143,6.0,595,571,1166,5.0,593,572,1165,100.0,18.9,100.0,19.1,100.0,19.2,1.0000000000000009,1.0,0.0,0.0,6.0,100.0
Alaska,West,41.0,556,541,1097,43.0,562,544,1106,38.0,547,533,1080,38.0,20.1,33.0,20.8,65.0,19.8,-2.0,5.0,5.0,-32.0,40.667,45.333
Arizona,West,31.0,569,565,1134,28.999999999999996,577,572,1149,30.0,563,553,1116,73.0,19.0,66.0,19.2,62.0,19.7,2.0000000000000036,-1.0000000000000036,7.0,4.0,30.0,67.0
Arkansas,South,6.0,582,559,1141,5.0,592,576,1169,3.0,614,594,1208,100.0,19.3,100.0,19.4,100.0,19.4,1.0,2.0,0.0,0.0,4.667,100.0
California,West,63.0,534,531,1065,60.0,540,536,1076,53.0,531,524,1055,23.0,22.6,27.0,22.7,31.0,22.8,3.0,7.0,-4.0,-4.0,58.667,27.0
Colorado,West,100.0,518,506,1024,100.0,519,506,1025,11.0,606,595,1201,27.0,23.8,30.0,23.9,100.0,20.8,0.0,89.0,-3.0,-70.0,70.333,52.333
Connecticut,Northeast,100.0,529,516,1046,100.0,535,519,1053,100.0,530,512,1041,22.0,25.5,26.0,25.6,31.0,25.2,0.0,0.0,-4.0,-5.0,100.0,26.333
Delaware,South,100.0,499,486,985,100.0,505,492,998,100.0,503,492,996,13.0,24.1,17.0,23.8,18.0,24.1,0.0,0.0,-4.0,-1.0,100.0,16.0
District of Columbia,South,94.0,495,480,975,92.0,497,480,977,100.0,482,468,950,32.0,23.5,32.0,23.6,32.0,24.2,2.0,-8.0,0.0,0.0,95.333,32.0
Florida,South,100.0,516,483,999,56.00000000000001,550,549,1099,83.0,520,497,1017,54.0,20.1,66.0,19.9,73.0,19.8,43.99999999999999,-26.999999999999993,-12.0,-7.0,79.667,64.333
Georgia,South,71.0,538,519,1058,70.0,542,522,1064,61.0,535,515,1050,49.0,21.4,53.0,21.4,55.00000000000001,21.4,1.0,9.0,-4.0,-2.000000000000007,67.333,52.333
Hawaii,West,54.0,550,550,1100,56.00000000000001,480,530,1010,55.00000000000001,544,541,1085,80.0,19.0,89.0,18.9,90.0,19.0,-2.000000000000007,1.0,-9.0,-1.0,55.0,86.333
Idaho,West,100.0,505,488,993,100.0,508,493,1001,93.0,513,493,1005,31.0,22.5,36.0,22.3,38.0,22.3,0.0,7.0,-5.0,-2.0,97.667,35.0
Illinois,Midwest,100.0,509,504,1013,99.0,513,506,1019,9.0,559,556,1115,35.0,24.3,43.0,23.9,93.0,21.4,1.0,90.0,-8.0,-50.0,69.333,57.0
Indiana,Midwest,66.0,543,537,1080,63.0,542,532,1074,63.0,542,532,1074,28.999999999999996,22.5,32.0,22.5,35.0,22.6,3.0,0.0,-3.0000000000000036,-3.0,64.0,32.0
Iowa,Midwest,3.0,622,622,1244,3.0,634,631,1265,2.0,641,635,1275,66.0,21.6,68.0,21.8,67.0,21.9,0.0,1.0,-2.0,1.0,2.667,67.0
Kansas,Midwest,4.0,618,623,1241,4.0,633,631,1265,4.0,632,628,1260,72.0,21.2,71.0,21.6,73.0,21.7,0.0,0.0,1.0,-2.0,4.0,72.0
Kentucky,South,4.0,620,612,1232,4.0,630,618,1248,4.0,631,616,1247,100.0,19.8,100.0,20.2,100.0,20.0,0.0,0.0,0.0,0.0,4.0,100.0
Louisiana,South,5.0,610,591,1200,4.0,615,595,1210,4.0,611,586,1198,100.0,18.8,100.0,19.2,100.0,19.5,1.0,0.0,0.0,0.0,4.333,100.0
Maine,Northeast,99.0,512,502,1013,99.0,512,501,1013,95.0,513,499,1012,6.0,24.3,7.000000000000001,24.0,8.0,24.3,0.0,4.0,-1.0000000000000009,-0.9999999999999991,97.667,7.0
Maryland,South,82.0,535,523,1058,76.0,545,535,1080,69.0,536,524,1060,28.000000000000004,22.3,31.0,22.5,28.000000000000004,23.6,6.0,7.0,-2.9999999999999964,2.9999999999999964,75.667,29.0
Massachusetts,Northeast,81.0,559,561,1120,80.0,562,563,1125,76.0,555,551,1107,21.0,25.5,25.0,25.5,28.999999999999996,25.4,1.0,4.0,-4.0,-3.9999999999999964,79.0,25.0
Michigan,Midwest,100.0,507,496,1003,100.0,511,499,1011,100.0,509,495,1005,19.0,24.4,22.0,24.2,28.999999999999996,24.1,0.0,0.0,-3.0,-6.9999999999999964,100.0,23.333
Minnesota,Midwest,4.0,636,648,1284,4.0,643,655,1298,3.0,644,651,1295,95.0,21.4,99.0,21.3,100.0,21.5,0.0,1.0,-4.0,-1.0,3.667,98.0
Mississippi,South,3.0,628,608,1237,3.0,630,606,1236,2.0,634,607,1242,100.0,18.4,100.0,18.6,100.0,18.6,0.0,1.0,0.0,0.0,2.667,100.0
Missouri,Midwest,4.0,622,615,1236,4.0,633,629,1262,3.0,640,631,1271,82.0,20.8,100.0,20.0,100.0,20.4,0.0,1.0,-18.0,0.0,3.667,94.0
Montana,West,9.0,603,596,1199,10.0,606,592,1198,10.0,605,591,1196,100.0,19.8,100.0,20.0,100.0,20.3,-1.0,0.0,0.0,0.0,9.667,100.0
Nebraska,Midwest,3.0,628,631,1260,3.0,629,623,1252,3.0,629,625,1253,100.0,20.0,100.0,20.1,84.0,21.4,0.0,0.0,0.0,16.0,3.0,94.667
Nevada,West,20.0,580,576,1156,23.0,574,566,1140,26.0,563,553,1116,100.0,17.9,100.0,17.7,100.0,17.8,-3.0,-3.0,0.0,0.0,23.0,100.0
New Hampshire,Northeast,95.0,533,526,1059,96.0,535,528,1063,96.0,532,520,1052,14.000000000000002,25.0,16.0,25.1,18.0,25.5,-1.0,0.0,-1.9999999999999982,-2.0,95.667,16.0
New Jersey,Northeast,82.0,544,545,1090,82.0,547,547,1094,70.0,530,526,1056,25.0,24.2,31.0,23.7,34.0,23.9,0.0,12.0,-6.0,-3.0,78.0,30.0
New Mexico,West,18.0,543,530,1073,16.0,552,540,1093,11.0,577,561,1138,63.0,19.3,67.0,19.4,66.0,19.7,2.0,5.0,-4.0,1.0,15.0,65.333
New York,Northeast,79.0,531,533,1064,79.0,534,534,1068,67.0,528,523,1052,22.0,24.5,27.0,24.5,31.0,24.2,0.0,12.0,-5.0,-4.0,75.0,26.667
North Carolina,South,51.0,554,546,1100,52.0,554,543,1098,49.0,546,535,1081,100.0,19.0,100.0,19.1,100.0,19.1,-1.0,3.0,0.0,0.0,50.667,100.0
