id,pid,ms subclass,ms zoning,lot frontage,lot area,street,alley,lot shape,land contour,utilities,lot config,land slope,neighborhood,cond 1,cond 2,bldg type,house style,overall qc,overall cond,yr built,yr remod/add,roof style,roof matl,exter 1st,exter 2nd,mas vnr type,exter qc,exter cond,foundation,bsmt qc,bsmt cond,bsmt exposure,bsmtfin type 1,bsmtfin type 2,bsmt unf area,total bsmt area,heating,heating qc,central air,electrical,1st flr area,living area,bsmt full bath,bsmt half bath,full bath,half bath,bedroom abvgr,kitchen abvgr,kitchen qc,totrms abvgrd,functional,fireplaces,fireplace qc,garage type,garage yr blt,garage finish,garage cars,garage area,garage qc,garage cond,paved drive,pool qc,fence,misc feature,mo sold,yr sold,sale type,saleprice,log saleprice,age,total area
109,533352170,2-Story 1946 & Newer,RL,68.0,13517,Pave,NA,2,Lvl,3,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,7,5,CBlock,5,5,1,6,1,192.0,725.0,GasA,9,Y,4,725,1479,0.0,0.0,2,1,3,1,7,6,7,0,0,5,1976.0,2,2.0,475.0,5,5,2,0,0,NA,3,2010,WD ,130500,11.779128505744886,34,2679.0
544,531379050,2-Story 1946 & Newer,RL,43.0,11492,Pave,NA,2,Lvl,3,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,7,5,PConc,7,5,1,6,1,276.0,913.0,GasA,9,Y,4,913,2122,1.0,0.0,2,1,4,1,7,8,7,1,5,5,1997.0,2,2.0,559.0,5,5,2,0,0,NA,4,2009,WD ,220000,12.301382825334498,13,3594.0
153,535304180,1-Story 1946 & Newer All Styles,RL,68.0,7922,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,5,7,CBlock,5,5,1,6,1,326.0,1057.0,GasA,5,Y,4,1057,1057,1.0,0.0,1,0,3,1,7,5,7,0,0,1,1953.0,1,1.0,246.0,5,5,2,0,0,NA,1,2010,WD ,109000,11.59910316121128,57,2360.0
318,916386060,2-Story 1946 & Newer,RL,73.0,9802,Pave,NA,3,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,5,5,PConc,7,5,1,1,1,384.0,384.0,GasA,7,Y,4,744,1444,0.0,0.0,2,1,3,1,5,7,7,0,0,3,2007.0,3,2.0,400.0,5,5,2,0,0,NA,4,2010,WD ,174000,12.066810578196666,4,2228.0
255,906425045,1-1/2 Story Finished All Ages,RL,82.0,14235,Pave,NA,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,5,5,PConc,3,7,1,1,1,676.0,676.0,GasA,5,Y,4,831,1445,0.0,0.0,2,0,3,1,5,6,7,0,0,1,1957.0,1,2.0,484.0,5,5,0,0,0,NA,3,2010,WD ,138500,11.83862560460953,110,2605.0
138,535126040,1-Story 1946 & Newer All Styles,RL,137.0,16492,Pave,NA,2,Lvl,3,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,7,5,CBlock,5,5,1,5,3,557.0,1517.0,GasA,9,Y,4,1888,1888,0.0,0.0,2,1,2,1,7,6,4,1,7,5,1966.0,3,2.0,578.0,5,5,2,0,0,NA,6,2010,WD ,190000,12.154779351142624,44,3983.0
2827,908186070,PUD-Multi-Level - Incl Split Lev/Foyer,RM,35.0,3675,Pave,NA,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5,5,PConc,7,5,4,6,1,0.0,547.0,GasA,7,Y,4,1072,1072,1.0,0.0,2,0,2,1,5,5,7,0,0,4,2005.0,3,2.0,525.0,5,5,2,0,0,NA,6,2006,New,140000,11.84939770159144,1,2144.0
145,535154050,1-Story 1946 & Newer All Styles,RL,68.0,12160,Pave,NA,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,5,5,CBlock,5,5,1,3,1,188.0,1188.0,GasA,3,Y,4,1188,1188,1.0,0.0,1,0,3,1,5,6,7,0,0,5,1959.0,2,2.0,531.0,5,5,2,0,3,NA,5,2010,COD,142000,11.863582336583399,51,2907.0
1942,535353130,1-Story 1946 & Newer All Styles,RL,68.0,15783,Pave,NA,3,Lvl,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,5,5,CBlock,5,5,1,3,1,632.0,924.0,GasA,5,Y,4,924,924,0.0,0.0,1,0,2,1,5,6,7,0,0,1,1952.0,1,1.0,420.0,5,5,2,0,3,Shed,6,2007,WD ,112500,11.630708500626612,55,2268.0
1956,535426130,2-Story 1946 & Newer,RL,70.0,11606,Pave,NA,2,HLS,3,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,5,5,PConc,7,5,3,3,1,390.0,1040.0,GasA,5,Y,4,1040,2080,0.0,1.0,1,2,5,1,3,9,7,2,5,5,1969.0,1,2.0,504.0,5,5,2,0,0,NA,9,2007,WD ,135000,11.813030057420567,38,3624.0
