Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CsFG,CsFG+,CsBR,CsTS,CsDZ,CsGR,CsVCFG,CsMIFG,CsSQ,CsVCTS,CsFU,CsRA,CsSN,CsNA,CsBCFG,CsTSRA,CsHZ
1,2007-05-01,83,50,67.0,14.0,51,56.0,0.0,2.0,448.0,1849.0,NA,0.0,,0.0,0.0,29.1,29.82,1.7,27,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-01,84,52,68.0,,51,57.0,0.0,3.0,,,NA,,,,0.0,29.18,29.82,2.7,25,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-02,59,42,51.0,-3.0,42,47.0,14.0,0.0,447.0,1850.0,BR,0.0,,0.0,0.0,29.38,30.09,13.0,4,13.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2007-05-02,60,43,52.0,,42,47.0,13.0,0.0,,,BR HZ,,,,0.0,29.44,30.08,13.3,2,13.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-05-03,66,46,56.0,2.0,40,48.0,9.0,0.0,446.0,1851.0,NA,0.0,,0.0,0.0,29.39,30.12,11.7,7,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-03,67,48,58.0,,40,50.0,7.0,0.0,,,HZ,,,,0.0,29.46,30.12,12.9,6,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-05-04,66,49,58.0,4.0,41,50.0,7.0,0.0,444.0,1852.0,RA,0.0,,0.0,0.0,29.31,30.05,10.4,8,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-05-04,78,51,64.5,,42,50.0,7.0,0.0,,,NA,,,,0.0,29.36,30.04,10.1,7,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-05,66,53,60.0,5.0,38,49.0,5.0,0.0,443.0,1853.0,NA,0.0,,0.0,0.0,29.4,30.1,11.7,7,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-05,66,54,60.0,,39,50.0,5.0,0.0,,,NA,,,,0.0,29.46,30.09,11.2,7,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-06,68,49,59.0,4.0,30,46.0,6.0,0.0,442.0,1855.0,NA,0.0,,0.0,0.0,29.57,30.29,14.4,11,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-06,68,52,60.0,,30,46.0,5.0,0.0,,,NA,,,,0.0,29.62,30.28,13.8,10,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-07,83,47,65.0,10.0,41,54.0,0.0,0.0,441.0,1856.0,RA,0.0,,0.0,0.0,29.38,30.12,8.6,18,10.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-05-07,84,50,67.0,,39,53.0,0.0,2.0,,,NA,,,,0.0,29.44,30.12,8.5,17,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-08,82,54,68.0,12.0,58,62.0,0.0,3.0,439.0,1857.0,BR,0.0,,0.0,0.0,29.29,30.03,2.7,11,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2007-05-08,80,60,70.0,,57,63.0,0.0,5.0,,,HZ,,,,0.0,29.36,30.02,2.5,8,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-05-09,77,61,69.0,13.0,59,63.0,0.0,4.0,438.0,1858.0,BR HZ,0.0,,0.0,0.13,29.21,29.94,3.9,9,6.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
